Taxa	Mg	Ca	Mn	Fe	Cu	Zn	TKW	PH
PI_254195_TR05ID_A21_1	27.15373553	21.06611936	4.23424174	0.366021348	0.149514663	-1.133486331	0.427323638	-1.593971061
TR_68827_E23_1	7.461000302	17.95252195	1.028943411	2.874763509	0.049807664	8.377108954	-3.223156209	1.597345779
PI_341413_TR01ID_A22_1	-21.26031413	7.310056497	0.07587467	0.710361198	0.120876068	-5.07988223	-4.469155386	-0.405049101
GKN_000269_27_2	-32.82523943	6.855209523	-0.495298657	-1.090811045	-0.139130509	-6.073386305	-3.525408001	0.304132419
TUR_02417_122_1	71.16383802	96.62597589	13.60538888	2.161940438	0.616364	5.233460103	-7.091979142	-0.738781581
PI_355547_TR16ID_A96_1	44.14110431	34.98458382	1.455808094	0.914102004	0.133660601	2.151608913	-2.95609194	1.305329859
PI_573524_TR04ID_A38_2	13.39043058	-4.406869439	-5.796588707	-0.482078418	0.019728712	10.03829156	-0.436124018	1.451337819
PI_272557_TR04ID_A79_1	-39.08210816	-17.30607502	-2.65770224	-0.477686077	-0.015737866	0.631896249	-0.544393316	1.910219979
TR_68869_E45_2	-13.6322481	-24.14318267	-4.569640366	0.013245293	0.318253375	0.826812071	0.484165019	0.679581459
PI_355538_TR17ID_A109_2	19.94475408	26.03728931	3.212012829	1.106072949	0.067492241	1.744708785	0.024020501	1.326188139
TR_68835_E28_1	-29.14274075	18.84165733	2.344928715	-0.029238133	-0.14603773	-4.167563269	3.783671891	-0.467623941
PI_191098_TR17ID_A65_1	11.2072051	8.835613802	2.701726259	0.675345068	-0.114116383	0.943687949	2.949998292	-1.489679661
GKN_000243_4_2	62.24973778	81.51654032	6.140926871	2.570480342	0.248874793	7.159548819	-7.202955173	-1.260238581
GKN_000258_17_1	-13.07680183	6.605530606	-0.785682248	-1.222598177	-0.118265071	-5.273573734	-3.711270297	-0.300757701
TR_68831_E26_1	-3.26102796	7.03073414	-5.4029581	-0.573354114	-0.255483736	-5.103326262	-2.303769416	-0.613631901
TR_68792_E15_2	-23.99664211	23.64730332	2.313292349	0.062287594	0.067219691	-1.894979149	-2.95609194	-0.092174901
PI_352483_TR17ID_A66_1	-1.124414944	25.52185375	0.547669048	-0.0431363	-0.291464763	-6.800993655	-3.118495888	-0.843072981
GKN_000263_21_1	9.209115928	14.20000301	-8.03016977	-0.364700129	0.082983726	2.116614025	-0.869201212	0.846447699
PI_286068_TR17ID_A89_1	-32.2855224	-1.83072492	-0.299975152	-0.164242129	-0.356306905	-7.989908223	2.541281691	-5.682193942
GKN_000253_12_2	21.9983094	45.0903029	7.922025534	1.16148549	0.136284536	10.48597994	-4.306751438	-0.008741781
PI_295058_TR01ID_A90_1	-6.33681759	-2.626299368	0.846390779	3.606386579	-0.110961933	-3.082251359	1.109420218	-0.092174901
TR_61232_E4_1	-3.816517017	49.92858372	-4.441538734	-0.089947449	-0.197238033	-4.05997612	-4.199384384	-1.135088901
GKN_002952_32_1	15.11984278	-30.96528468	5.264580939	1.161486602	0.192119595	-1.081140678	0.944309538	-2.741176461
PI_355546_TR11ID_A95_1	63.89573433	4.577716578	5.848123627	2.305624419	0.095501079	7.723143925	0.159357124	-2.282294301
GKN_025885_120_1	-13.97062047	20.95537189	-2.353733628	1.022481067	-0.103448869	-2.685873816	-3.497438432	3.870898299
PI_191096_TR17ID_A62_2	0.349078324	27.55754018	0.098608585	-0.045327083	0.042344146	-1.022270644	-2.111591412	1.263613299
